Heading,Category,Cases
Disposal in last month,Civil,"Disposal in last month civil cases
3,345"
Disposal in last month,Criminal,"Disposal in last month criminal cases
1,761"
Disposal in last month,Total,"Disposal in last month total cases
5,106"
