Heading,Category,Cases
Instituted in last month,Civil,"Instituted in last month civil cases
3,653"
Instituted in last month,Criminal,"Instituted in last month criminal cases
1,873"
Instituted in last month,Total,"Instituted in last month total cases
5,526"
